ZIP.EXE 0.01 [ZIP32J.DLL 00037]
[Result 0x00000000]
	zip warning: src_pack.zip not found or empty
  adding: srcPack/.cdtbuild (188 bytes security)	(in=7449) (out=1381) (deflated 81%)
  adding: srcPack/.cdtproject (188 bytes security)	(in=638) (out=264) (deflated 59%)
  adding: srcPack/.project (188 bytes security)	(in=474) (out=217) (deflated 54%)
  adding: srcPack/.settings/ (256 bytes security)	(in=0) (out=0) (stored 0%)
  adding: srcPack/.settings/org.eclipse.cdt.managedbuilder.core.prefs (188 bytes security)	(in=1553) (out=336) (deflated 78%)
  adding: srcPack/bonus.c (188 bytes security)	(in=1770) (out=790) (deflated 55%)
  adding: srcPack/boss.c (188 bytes security)	(in=1221) (out=486) (deflated 60%)
  adding: srcPack/bullet.c (188 bytes security)	(in=1876) (out=868) (deflated 54%)
  adding: srcPack/common.c (188 bytes security)	(in=1426) (out=591) (deflated 59%)
  adding: srcPack/data/ (256 bytes security)	(in=0) (out=0) (stored 0%)
  adding: srcPack/data/buf.c (188 bytes security)	(in=984) (out=383) (deflated 61%)
  adding: srcPack/data/config.c (188 bytes security)	(in=1292) (out=568) (deflated 56%)
  adding: srcPack/data/data.c (188 bytes security)	(in=3213) (out=1370) (deflated 57%)
  adding: srcPack/data/resource_define.c (188 bytes security)	(in=1989) (out=837) (deflated 58%)
  adding: srcPack/Debug/ (256 bytes security)	(in=0) (out=0) (stored 0%)
  adding: srcPack/Debug/data/ (256 bytes security)	(in=0) (out=0) (stored 0%)
  adding: srcPack/Debug/data/subdir.mk (188 bytes security)	(in=1201) (out=556) (deflated 54%)
  adding: srcPack/Debug/gfx/ (256 bytes security)	(in=0) (out=0) (stored 0%)
  adding: srcPack/Debug/gfx/subdir.mk (188 bytes security)	(in=1271) (out=578) (deflated 55%)
  adding: srcPack/Debug/makefile (188 bytes security)	(in=1192) (out=587) (deflated 51%)
  adding: srcPack/Debug/menu/ (256 bytes security)	(in=0) (out=0) (stored 0%)
  adding: srcPack/Debug/menu/subdir.mk (188 bytes security)	(in=1095) (out=526) (deflated 52%)
  adding: srcPack/Debug/objects.mk (188 bytes security)	(in=297) (out=128) (deflated 57%)
  adding: srcPack/Debug/sources.mk (188 bytes security)	(in=450) (out=224) (deflated 50%)
  adding: srcPack/Debug/stage/ (256 bytes security)	(in=0) (out=0) (stored 0%)
  adding: srcPack/Debug/stage/subdir.mk (188 bytes security)	(in=1284) (out=575) (deflated 55%)
  adding: srcPack/Debug/subdir.mk (188 bytes security)	(in=1780) (out=732) (deflated 59%)
  adding: srcPack/eventGenerator.c (188 bytes security)	(in=56) (out=56) (stored 0%)
  adding: srcPack/foe.c (188 bytes security)	(in=3996) (out=1610) (deflated 60%)
